Epoch,Step,Loss,Loss pos,Loss neg
2,173,0.1047,0.0649,0.0398
2,174,0.1096,0.0713,0.0383
2,175,0.1119,0.0725,0.0393
2,176,0.1044,0.0663,0.0381
2,177,0.1044,0.0667,0.0376
2,178,0.1081,0.0721,0.0360
2,179,0.1095,0.0697,0.0399
2,180,0.1034,0.0649,0.0386
2,181,0.1051,0.0668,0.0383
2,182,0.1020,0.0640,0.0380
2,183,0.1128,0.0733,0.0395
2,184,0.1077,0.0713,0.0364
2,185,0.1074,0.0699,0.0375
2,186,0.1051,0.0678,0.0372
2,187,0.1016,0.0644,0.0373
2,188,0.1039,0.0673,0.0366
2,189,0.1060,0.0684,0.0377
2,190,0.1064,0.0696,0.0368
2,191,0.1143,0.0770,0.0373
2,192,0.1100,0.0724,0.0376
2,193,0.0994,0.0638,0.0357
2,194,0.1070,0.0689,0.0381
2,195,0.1025,0.0662,0.0363
2,196,0.1036,0.0670,0.0366
2,197,0.1098,0.0720,0.0378
2,198,0.1067,0.0690,0.0377
2,199,0.1064,0.0696,0.0368
2,200,0.1056,0.0692,0.0365
2,201,0.1031,0.0657,0.0374
2,0.1044,0.0657,0.0387
3,1,0.0663,0.0288,0.0375
3,2,0.0630,0.0251,0.0378
3,3,0.0630,0.0281,0.0350
3,4,0.0640,0.0281,0.0359
3,5,0.0663,0.0320,0.0343
3,6,0.0655,0.0314,0.0341
3,7,0.0636,0.0321,0.0315
3,8,0.0625,0.0311,0.0313
3,9,0.0625,0.0334,0.0290
3,10,0.0629,0.0350,0.0279
3,11,0.0635,0.0360,0.0274
3,12,0.0628,0.0360,0.0268
3,13,0.0654,0.0393,0.0261
3,14,0.0613,0.0363,0.0250
3,15,0.0582,0.0329,0.0253
3,16,0.0626,0.0378,0.0248
3,17,0.0577,0.0334,0.0242
3,18,0.0594,0.0358,0.0236
3,19,0.0614,0.0385,0.0229
3,20,0.0574,0.0342,0.0231
3,21,0.0592,0.0356,0.0235
3,22,0.0581,0.0355,0.0227
